Content,score,VADER_Sentiment,Embedding_Cluster_ID,Embedding_Cluster_Name,Sentiment
awr z,3,Neutral,6,Positive Feedback,Neutral
excellent,5,Positive,7,Mixed Reviews,Positive
nice updation day,5,Positive,8,Technical Issues and Updates,Positive
super,5,Positive,7,Mixed Reviews,Positive
nice good,5,Positive,7,Mixed Reviews,Positive
good experience please improve sl target feature chart,5,Positive,8,Technical Issues and Updates,Positive
w xx sx xx xx xx w s2xsdesdd,4,Neutral,6,Positive Feedback,Neutral
unable start,1,Neutral,8,Technical Issues and Updates,Negative
helpful app,5,Positive,1,Positive Feedback on App Quality,Neutral
vishal chauhan,5,Neutral,5,User Experience and Expectations,Neutral
bahut hi badhiya app h,5,Neutral,5,User Experience and Expectations,Neutral
nice app,5,Positive,1,Positive Feedback on App Quality,Positive
developed quite bit probably best analysis board ui easy navigation could teach brother start navigating,5,Positive,4,User Interface and Usability,Positive
brokerage charge littile,4,Neutral,2,User Experience and Functionality,Neutral
easy access information,5,Positive,4,User Interface and Usability,Positive
perfectly work hang issue slow work today morning lose money app work worsted,1,Positive,8,Technical Issues and Updates,Positive
hni big category 10lak 2cr option ipo available guy going add option grow app,4,Neutral,3,App Fraud and Money Loss,Positive
best app treading,5,Positive,1,Positive Feedback on App Quality,Positive
good ui,5,Positive,4,User Interface and Usability,Positive
good interface experience,5,Positive,4,User Interface and Usability,Positive
ooo 9io iiiiiiioookkk okk n ik imi,4,Neutral,6,Positive Feedback,Neutral
good,5,Positive,7,Mixed Reviews,Positive
tc xxx h xx xxxxr3 x 3d fx3434 x3c fdr,3,Neutral,6,Positive Feedback,Neutral
customer support na call request aata h na kitani bar call kiye lagata nahi h,1,Positive,5,User Experience and Expectations,Neutral
best trading aap,4,Positive,9,Stock Market Trading Apps,Positive
easy use,4,Positive,4,User Interface and Usability,Positive
stupid service mistake also paid amount 07 day refund money back,1,Negative,2,User Experience and Functionality,Negative
good app,4,Positive,1,Positive Feedback on App Quality,Positive
best app,5,Positive,1,Positive Feedback on App Quality,Positive
terget price order delay trigger,3,Negative,2,User Experience and Functionality,Neutral
issue arrived todaythe reason giving 1 star position often cut late lead loss improvisation timely adjustment would make even better still error happening,1,Negative,8,Technical Issues and Updates,Neutral
bad,1,Negative,7,Mixed Reviews,Negative
charge much calculation intraday charge others please dp chares compared apps like zerodha upstox angel one high one trade 10 trade charging per day grow charging per trade mean one ten trade per order trade charge unfair grow app,2,Positive,2,User Experience and Functionality,Neutral
grow deta leat poor nonsense bakwaas,1,Negative,5,User Experience and Expectations,Negative
28 aug trade future trade automatic sell 1 pm worst demet account ever,1,Negative,2,User Experience and Functionality,Negative
removed advanced feature like indicator trend tool,3,Positive,8,Technical Issues and Updates,Positive
app treading poor service,1,Negative,8,Technical Issues and Updates,Negative
like asome aa bohot achhe hai,5,Positive,5,User Experience and Expectations,Neutral
mutual fund data updating last 5 6 day contacted support team solved problem 1hour nice app nice support,5,Positive,8,Technical Issues and Updates,Positive
app update given due issue updating please suggest option,2,Positive,8,Technical Issues and Updates,Negative
nothing say,5,Neutral,6,Positive Feedback,Neutral
good experience,5,Positive,6,Positive Feedback,Positive
vlc n,4,Neutral,6,Positive Feedback,Neutral
withdrawal pending 4 din se hai customer service bi bekar hai download mat karna grow apps,1,Neutral,5,User Experience and Expectations,Neutral
good ui experience,5,Positive,4,User Interface and Usability,Positive
super app,5,Positive,1,Positive Feedback on App Quality,Positive
faltu h yaha par toh kuch bhi sahi se nahi hota h,1,Neutral,5,User Experience and Expectations,Neutral
great,5,Positive,7,Mixed Reviews,Positive
sl order mtf position rollout,3,Neutral,6,Positive Feedback,Neutral
tt bh hii mm wa v,2,Neutral,5,User Experience and Expectations,Neutral
user friendly,5,Positive,4,User Interface and Usability,Positive
tried cancel fno unable,1,Negative,2,User Experience and Functionality,Negative
good beginner,4,Positive,4,User Interface and Usability,Positive
thank making money,5,Positive,6,Positive Feedback,Neutral
easy accessibility,5,Positive,4,User Interface and Usability,Positive
grow charging 20rs brokerage buying selling 40rs brokerage,1,Neutral,2,User Experience and Functionality,Neutral
always hidden charge cut automatically deducted demot account total loss 400rs dont use app,1,Negative,2,User Experience and Functionality,Neutral
grow worst trading app want closed grow accont freiends sip money 10k reedimed 17 aug 2025 money credited friend accont till nowit haras friend documentation request pls credite also feature indicator work properly cheat pepole,1,Positive,3,App Fraud and Money Loss,Negative
nice app,5,Positive,1,Positive Feedback on App Quality,Positive
nice,5,Positive,6,Positive Feedback,Positive
grow app froudly company know download customer know offer know customer support,1,Positive,1,Positive Feedback on App Quality,Neutral
easy operate customer care also helpful immediate,5,Positive,4,User Interface and Usability,Positive
simple n good,5,Positive,4,User Interface and Usability,Positive
best app india stock market happy,5,Positive,9,Stock Market Trading Apps,Positive
good leaning good experience financial chat show always wrong data could cause wrong decision money loss,1,Negative,3,App Fraud and Money Loss,Neutral
news section stock improved overall app service good,4,Positive,9,Stock Market Trading Apps,Positive
good experiencing lot new feature,5,Positive,6,Positive Feedback,Positive
choice,5,Neutral,6,Positive Feedback,Neutral
app showing since morning please check network connection able view balance,3,Positive,8,Technical Issues and Updates,Positive
trusted plot form,5,Positive,0,Mixed Reviews,Neutral
like trading app,5,Positive,9,Stock Market Trading Apps,Neutral
worst experience technical glitch major loss high brokeage shifted new broker flatrade u need wrry grow time nt grow untill u charging high brokeage,1,Negative,2,User Experience and Functionality,Neutral
nice good,5,Positive,7,Mixed Reviews,Positive
many time take process yesterday completed documentstoday asking stating open new account u fix bug sign google account next second process cant use ur add web application properly,2,Neutral,8,Technical Issues and Updates,Positive
good app,5,Positive,1,Positive Feedback on App Quality,Positive
nadeem ahmed,5,Neutral,5,User Experience and Expectations,Neutral
well,5,Positive,7,Mixed Reviews,Neutral
complained regarding delink mail id name however completed tried reach customer service proper assistant provided life time unable use grow groww,1,Negative,3,App Fraud and Money Loss,Negative
naice app,5,Neutral,1,Positive Feedback on App Quality,Neutral
heloo hey,5,Neutral,6,Positive Feedback,Neutral
ro rha hu toye se baat kar rha raha kr ohm full name gender aadhar dob phone email pan whatsaprrp parent yop graduation college name branchw graduation 12 yop 10 yop certificate gmail id password applied earlier super set id password ready relocate full address send detailsy along resume dhegara u,5,Positive,5,User Experience and Expectations,Positive
issue error importing mf detail mf data getting updated say update within 10 15 min,1,Negative,8,Technical Issues and Updates,Neutral
good interface easy user friendly,5,Positive,4,User Interface and Usability,Positive
please fix app restarting,4,Positive,8,Technical Issues and Updates,Neutral
one suggestion please add weekly sip option history location point invested fund option available coin zerodha user application,2,Positive,3,App Fraud and Money Loss,Positive
love application second money generate sorse,5,Positive,3,App Fraud and Money Loss,Positive
grt trading app easy trade earn,5,Positive,9,Stock Market Trading Apps,Positive
excellent app please download,5,Positive,1,Positive Feedback on App Quality,Positive
nice app beginner supportive,5,Positive,1,Positive Feedback on App Quality,Positive
brokrage tax need rectify rest best,5,Positive,3,App Fraud and Money Loss,Positive
poor customer service 247 care reply waiting time 5 minute hang 10 wait,1,Neutral,2,User Experience and Functionality,Negative
easy use really soo happy use app everyone please switch groww,5,Positive,1,Positive Feedback on App Quality,Positive
star nahin hai superstar hai,5,Neutral,5,User Experience and Expectations,Neutral
hidden charge unknown retailer,1,Neutral,2,User Experience and Functionality,Negative
bokarej bov se charge vadare se pan app saruse roj na 200 300 bokarej jase,4,Neutral,5,User Experience and Expectations,Neutral
like,5,Positive,6,Positive Feedback,Neutral
good excellent,4,Positive,7,Mixed Reviews,Positive
super,5,Positive,7,Mixed Reviews,Positive
zz x mexican mi syoklnhj,3,Neutral,6,Positive Feedback,Neutral
kab profit hoga yaar,5,Positive,5,User Experience and Expectations,Neutral
useful reliable app,5,Positive,1,Positive Feedback on App Quality,Positive
good app provide every daily news market,5,Positive,9,Stock Market Trading Apps,Positive
excellent easy work,5,Positive,7,Mixed Reviews,Positive
sometimes open,4,Neutral,6,Positive Feedback,Neutral
nice app trading security,5,Positive,9,Stock Market Trading Apps,Positive
account se paisa kat lete hai chor hai,1,Neutral,5,User Experience and Expectations,Neutral
good application,5,Positive,1,Positive Feedback on App Quality,Positive
user friendly app,5,Positive,4,User Interface and Usability,Positive
much easy interface easy use,4,Positive,4,User Interface and Usability,Positive
best trading experience thank simple wonderfull trading platform,5,Positive,9,Stock Market Trading Apps,Positive
good platform,5,Positive,9,Stock Market Trading Apps,Positive
app smooth,4,Neutral,4,User Interface and Usability,Positive
bad service scam app,1,Negative,1,Positive Feedback on App Quality,Negative
extraordinary experience give really smoothness experience trading,5,Neutral,9,Stock Market Trading Apps,Positive
best trading app,5,Positive,9,Stock Market Trading Apps,Positive
improve,3,Positive,7,Mixed Reviews,Neutral
ipo showing properly open ipo 6 showing 2,2,Neutral,8,Technical Issues and Updates,Neutral
still good experience,5,Positive,6,Positive Feedback,Positive
nice application,5,Positive,1,Positive Feedback on App Quality,Positive
good brokerage,5,Positive,9,Stock Market Trading Apps,Positive
hi recommend using app go option due technical glitch lost money placing trade system let place order beyond available balance incurred loss per policy issue marked resolved satisfied resolution money still lost review remains unchanged proper backup ex hdfc fall 50 grow show 089 many stock suddenly increase 40rs 5k dont use,1,Positive,3,App Fraud and Money Loss,Positive
5 654 5,4,Neutral,6,Positive Feedback,Neutral
one worst broker india charging dp charge r 20 per order stock day sell share 10 time day charge dp 10 time brokerage also min r 5 short loot raha hai grow without notice,1,Negative,2,User Experience and Functionality,Negative
note good app show price,1,Positive,1,Positive Feedback on App Quality,Positive
ghati ya aap hai,1,Neutral,5,User Experience and Expectations,Neutral
please update 13 month chart fasility,3,Positive,8,Technical Issues and Updates,Neutral
good app investor,5,Positive,9,Stock Market Trading Apps,Positive
bahut badhiya,5,Neutral,5,User Experience and Expectations,Neutral
