Content,score
stress relief,5
best app world,5
interest,1
nice application,5
account hijacked impossible reset changed email phone password 2 factor doesnt help customer service available,1
plzzz speed posting speed,5
good experience,5
instagram good app,5
one who facing download issue like voice message video sent,1
good app,4
love instagram,5
batting raja 5062sahganj wala,5
dont know people suspended id even appealed returning,1
ive lowered rating cant determine ive shadowbanned content purposefully blocked entity experience overall somewhat good algorithm need stop playing favorite come certain user want better rating give better experience follower exposure explore fair advice enough good improvement need done,3
nice app,5
app good,5
love play store install anytime,5
thanks insta,5
good app,5
good,4
good app everything good like reel chatting full entertainment photo filter good,5
tried change instagram theme light dark mode literally dont work accessibility caption option thats nah fair,1
please help account husband ____hey_binit____,5
recaptcha error issue kind bloody verification system instagram following simple time waste please update upgrade instagram,1
technical issue bug fix,1
great app keep,5
good quality version video,5
excellent,5
beautiful,5
time wasting app,1
love app,5
favorite app,5
good need better result,5
best app use edits instagram pls support,5
app good reel photo nice app,5
please viral post,5
app crazy,4
alokomiobarman,3
instagram 5 year tell still need download random thirdparty apps save story audio like hello story video download directly every update come random new feature one asked one thing actually make sense still missing seriously instagram hard adding save story sound button literally annoying thing ever,3
bro luv hitler meme come,5
need auto scroll,5
good,5
year app still break overview button android sluggish buggy often cant scroll group chat look previous reel use group search feature problem flinging back week month old reel fix app,1
nice app educational purpose thank,5
wow love instagram use insta last 4 year good result morning start insta,5
without anything community guideline instagram suspended mya account without reason,1
help sir,5
useful,5
nice app,5
instagram op,5
shivamkashyap,5
suggest insta influencersyaay alright glitch anyways absolutely perfect app ever,5
life good,5
828 update bug keep shutting,1
boooo tomato tomato tomato boooooooooo,1
network contact problem story unknown person post unknown person come,3
best apk,5
bug forgot password tried resetting password fromemail whats app redirected installed app page called create strong password inputted valid character field clicked reset button result keep loading,1
jisne ye pada uski mkc,5
love,5
perfect app,5
excellent im really enjoying app,5
delete repost option please,1
great survises,5
im facing issue instagram scroll reel 23 min shifting homepage chat box side screen becomes black cant see anything need start instagram removing recent tab please something,2
good app,5
apo better apps full reel infinite thats app help u get know people become popular,5
calculator,1
bad,1
good,5
good aap,4
great app,5
update problem,5
nice download guy,5
bestttt,5
shaikh,5
sanjit,1
mere follower badhne ki jagah ghat rhe h pta nhi kyu unfollow jo karte h bo dikh nhi rhe follow karte h unka notification ata h counting utni hi rahti h,2
track data us message update algorithm,1
multiple id update come tgay act id remains unchanged,5
faltu app dont like,1
perfect,5
much good,5
love instagram family,5
good app instagram,5
thikthak,1
good job,5
love instagram,5
meta ruined social medium censorship speech support war criminal,1
follows 10 k,5
whenever open always show nudity negetive content dont follow doesnt show search first reel whenever open disgusting experience,1
amazing,5
love instagram,5
amazing post updated,5
facing problem loggin id even entering right password,2
bad app dont installat itit wastage data,5
never issue last year ive 2 account disabled thing didnt appeal process doesnt even give option explain talk anyone havent posted anything year somehow keep getting account disabled b,1
hello instagram team noticed restyle option story missing account already updated app restarted device feature still available please help enable feature thank,5
people cant mention story update insta lot time modification,1
instagram give boyfriend,5
best platform,5
genuinely unusable unskippable ad feed story literally every 4th post ad awful horrible hate every time open app want close immediately dm dont load anymore message disappear randomly sometimes let see recent message refuse load older one app genuinely become painful use,2
instagram useful app,5
nice app,5
cant open acc acc problem nothing truly clitsh keep following cant log acc,1
like much,5
instagram good platform nice,5
best app use,5
feeling good,5
app nice,5
cant login account even correct password,1
time pas ke liye thike hai,4
love aap,5
super,5
app convenient handy general knowledge past 3 day facing issue like reviewing saved reel stucks app close cant able message ig team please solve issue,4
need earn mone like facebook youtube,1
cant see viewer pls allow,4
get money instagram post video,5
speakless wow,5
thinking time ig 40 mb double,5
account disabled problem,2
fantasy world wealthy happy people would like see install,1
best app using past 5 month going great,5
good personal use like saving photo bad everything else expect lot fake science ai picture verified checkmark profile,2
great,5
app wonderful,5
awesome man,5
app work ive issue week one story open forcing clear data restart multiple time day internet finefix app,1
open,1
app great need clear chat direct feature,5
osama,4
insta id getting reach,3
worlde best sosal midiea app,5
wonderful great,5
post dont go alot viral men,5
instagram mere sare account disable kar diya hate instagram,1
please dear meta bring back music instagram,5
dont know song section removed reel,2
vry nice thise aap,5
aap favourite im aap talk favourite person,5
1k follower se kam hone ke karan live nahi chal raha hai normal instagram user ko kya live chalane ka haq nahi hai sit,1
yeah mean app good honestly saying faced problem telling mention back anyone dp photo person mentioned back changed didnt like hope instagram fix problem next update thank,4
easy use,4
instagram upate,1
pleade stop suspending account thank u,4
wonderful experience,5
amazing,5
done done done,5
sameer pathan,1
exciting app,5
beautiful app good reel chatting call message,5
lnstagram,5
bad new version update,1
comfortable platform,5
siam yadav,5
dear instagram team didnt send anything purpose break community guideline mistake cant able send message 3 day please review instagram account right always follow rule instagram please get,1
ill choose full rate u give trial option,5
comment,1
good service like,5
beautiful,5
worst app,1
nice application jo man hai wah yaha dil khol ke baya kar sakte hai,4
real creator,5
ajmal,5
excellent exercise application peaceful mind,5
excellent,5
please remove repost button app,1
follow,5
l love simple use,4
sometimes played reel app didnt played reel well please fix issue,1
amazing platform user like grow identity,5
nice experience,5
hail satan,5
super app,5
new enjoying much,5
great app,5
hello instagram team account suspended mistake always follow instagram community guideline term service believe suspension error violated policy kindly review account restore soon possible important stay connected friend family community thank supportuser name fahad295x,5
soo best app,5
instagram year zero problem suddenly past two week whenever message friend scroll upwards without neverending loading icon unless delete reinstall ridiculous,1
favourite,2
wonderful app,5
need help account automatic following someone dont know dont know keep unfollow block keep refollow someone else today got suspend really need instagram help,3
korraaa,5
best app,3
5 star mahe plz reel support,5
monopoly bad constantly bugged something went wrong ridiculous least give error code smthn,1
brilliant,5
instagram best online app app,5
best social medium app tbh,5
smooth,5
good app,5
really worst day day problem increasing one id dont able send message still issue im using moto 50 fusion chat message sent recieved show camera calling error plz fix needful,1
hii viws,5
mast app ha bhai instagram mast,5
bad,5
sometimes difficult post reel video,4
even changing front style mobile setting front style instagram change,5
love,5
thik hai,3
interesting app advertising gaining knowledge various thing,5
good platform content creator influence showcase talent fun entertaining app,5
best app get viral,5
many bug banned reason,1
limited way edit story layering limit creative idea person,1
vashe z r gap b lish mumkinmas,5
best arning apo,5
amazing application ever seen please see profile promote,5
app capals perfect,3
worst,1
nice aap,5
beautiful girl,5
kkkdjenci x kon land kf h mangne,5
nice nice beautiful,5
best update,5
nice performance,5
kajal kushwaha,5
people watching lose one star forced gay lbtgqcontent stuff im interested,4
help u new thing,5
instagram good use properly others know good thing,5
good user experience overall inconsistent ui update need fix,4
follower continuously dropping last one month even genuine follower counted properly whenever new follower come decrease instead increasing issue demotivating affect growth please fix problem soon possible,1
nice work,2
nice,5
fantastic app,5
hey meta instagram would like request feature directly jump reel profile watching feed people post reel part reel uploaded sometimes 67 month back due difficult find,5
yes good use also bad life many people addicted seeing reel wasting time use limited way,4
suck like hell nowadays,1
instagram ruined privacy people like reel follower instagram see everything also content comment posted good quality,1
ek number achha video hai,5
cant edit photo,1
useful small business world wide,5
pls grow follower,5
instagram account say like say talk meta support er live dont wan pay one send 100 time help center u make quick,1
good app meet new people,5
niceee guudddd,5
insta account suspended instagram done anything wrong insta app suspended lost childhood friend please people dont use instagram account onwards requesting people careful instagram waste using instagram given right suspended account lost friend people reback account give friend account list issue facing instagram dont give rating app,1
loving plateform whereu like wow technology,5
love hai na,5
periodically forced watch advertisement entirety order use app condone practice cannot recommend app,1
nose app,5
make famous,4
useful best app,5
instagram funny,5
great,5
ifeelkingeditz ko blue tek,2
kora app bro,5
nice application,5
app installing plz install app plz install,5
best platform selfgrow,5
worst app upload photo cant able upload photo sameregular length width colour uploaded photo also changed,1
last2 day instragram properly working suddenly app hangupp outo matical closee frustrated doo thing working plz something thiss,1
lovely entertainment joy time pas love friendship update,5
like instagram,1
like,4
social medium platform coolinstagram,4
full musty jai mata bawe walli,5
nice instagram viral video,1
view increased,4
mujhe instagram acha laga,5
good vibe,5
dear instagram team account 0nly_cricket56 account working great suddenly dont know happened video stopped getting view please fix,5
worse,1
like,5
instagram account got hacked reason like havent even changed email password etc hacker hacked without sending otp,1
hot,5
every id getting ban without please fix issue,1
stupid engineer,1
suchit,5
best app world,5
great platform four posting reel feeling etc everything,4
favorite app,5
mast hai bhai,5
