Content,score,VADER_Sentiment
able open chart,1,Neutral
complicated put stoploss change ui something entry take profit stoploss like change make great potential,1,Positive
user friendly app simple easy use,5,Positive
better,1,Positive
good,5,Positive
excellent application,5,Positive
indicator showing index chart like vwap volume indicator,5,Positive
1 sistify,4,Neutral
best application investing,5,Positive
exceptional fast easy operate,5,Positive
good app,5,Positive
zerodha app easy handle,5,Positive
easy use fast error free,5,Positive
2fa security able setup device format,4,Positive
network miss app,1,Negative
data security absolutely suck open account data leaked youll start getting unsolicited tip random number careful take monetary transaction else youll end huge loss,1,Negative
good service,5,Positive
5 year best service,5,Positive
easy use advertisement app use,4,Positive
watchlist chart display error please solve problem,1,Negative
great response nice,5,Positive
worst apps working,4,Negative
satisfied,5,Positive
fast trading order window please following improvement 1 keep default quantity blank 2 show maximum quantity trade eg client 1000000 r want sort nifty option order window max quantity 350 display 3 exit option position position tab case 1800 quantity nifty 1000 quantity sensex option unnecessary confirmation popup load waste trader time,2,Positive
nice,5,Positive
best option trading,5,Positive
good trading,5,Positive
lot qty ke option chahiye aur margin available automatic hona chahiye,5,Neutral
polite helpful support executive superfast execution,5,Positive
worst app cant put stoploss app say trigger price must greater price one understand staff must give credit polite enough answer smart enough resolve issue,1,Positive
great app,5,Positive
bad experience,1,Negative
updated review thnx zerodha finally something come good best feature update year seen different zerodha totally nailed,5,Positive
excellent mr deepak helped understand placement order ipo zerodha kite seamlessly smooth people work better friendly guide please keep,5,Positive
zerodha worst stock broker ever seen going week info account opening confirmation user idpassword detail yet,1,Negative
matual app coin portfolio hide karne ka feature chahiye,5,Negative
excellent experience would recommend anyone friend,5,Positive
happy,5,Positive
happy,5,Positive
nowadays every broker give excellent feature main thing zerodha ecosystem thats different others,5,Positive
good ba,5,Positive
recommend best know,5,Positive
kindly work fo segment add feature fno like multi chart scalping mode one tap buy sell etc,4,Positive
zerodha gang looter including exchange government looting retailer true experience big machination broker involved one solution stay away,1,Positive
lately many hidden charge unnecessary penalty deduction shifting broker disappointed,1,Negative
easy app trading customer support always help,5,Positive
app good u recently faced issue related transfer money like according contract note amount charge trade less come fund unintentional amount cut profit like received 1000 rupee real thae amount want receive 1600 rupee deducting charge 500 rupee unintentional amount deducted profit didnt come fund happens 23 time check,3,Positive
many time chart getting saved new system create new charge dont know faced lot charge issue margine shortfall even closing position bad using long time,1,Positive
good app please add widget monitor stock,5,Positive
please enable trading option chart setting enabledisable buysell directly chart,3,Positive
today kept 3 stop loss different stock traded everytime partial executed exit lower level later,1,Negative
support staff helpful thank zerodha,5,Positive
still improvement made application portfolio show today price movement need see touching respective stock separatelywhat im saying today fluctuation portfolio known much money gone particular stock currently percentage known,4,Positive
india best trade platform,5,Positive
excellent application easy operate,5,Positive
sorry old review thing good,5,Positive
overall helping people helped lot thank,4,Positive
encouraging,3,Positive
awesome,5,Positive
nice app,5,Positive
good application low brokerage charge good customer service good thing customer care ai,5,Positive
using friendly app,5,Positive
helpful,5,Positive
excellent service quick support,5,Positive
top experience,5,Positive
prompt accurate help,5,Positive
best market,5,Positive
perfect respect,5,Positive
ghatiya app ghatiya service month charge amc ke maan pe unjustified charge delay payment ke maan pe,1,Negative
one best platform service,5,Positive
trading karke shortcut mein crorepati banane ki sochne walo aap sabko advance mein kangal hone ki badhai 1000 percent kangali hogi hi hogiyaad rakhna isliye trading se door rahana investing karni hai toh ye application best hailekin investing bhi seekh kar karanabaaki bhagwan aapka bhala karen,5,Positive
chart dont reflect original price,1,Negative
convenient platform security buying selling compare similar platform,5,Positive
great app connectivity zerodha apps awesome also great customer support team,5,Positive
humble conversation agent,4,Neutral
user friendly gui,5,Positive
poor service,1,Negative
satisfactory sometimes glitch,4,Positive
zerodha baki broker ek hi plateform pe kitne feature milte hai jaise ki important feature hai nse gainer loser nifty 500 gainer loser nifty 200 gainer loser nifty 100 gainer loser ye common feature bhi apke mobile application nahi hai majburan kisi ko dusre plateform pe jake ye check karna padega aur apke hi client dusre broker sift kar jayenge ager ye feature nahi rakhe aur mene hazar bar kaha hoga lekin client ka koi khayal nahi hai koi action nahi,2,Negative
good app ui easy understand brokerage also quite good,5,Positive
good app,5,Positive
every thing fine pls solve chart layout save problem save show error saving chart pls add multiple chart single screen like pc,4,Positive
multiple chart frame available,4,Neutral
good service providerkite amazing,5,Positive
zerodha share sell withdrawal dhan charge service zero share account invest 3rd class,1,Positive
nice thanks,4,Positive
hi zerodha team happy say app good clear user experience compared apps 1 year experience stock market problem noticed want recent history stock sold market 1 week 1 month help invest stock fast compared finding new stock want one feature listing day ipo place hope see feature soon kite thank,4,Positive
give feature automatic transfer intraday fo profit bank account settlement,2,Positive
third class interface,1,Neutral
fradu app 100 fradu app bse rate la exit aana nse la kaatuthu,1,Neutral
good app simple brokerage couldve lower though,5,Positive
tried create new account must say new user experience matter lot make break situation add bank account detail either entering detail manually making re1 payment upi supposed returned back within 24 hour mentioned app scanned given qr code made payment receive message saying bank verification failed test transaction re1 captured app trust app,1,Positive
avarage,5,Neutral
excellent customer service,5,Positive
nice app clean ui need add landscape mode android tablet,5,Positive
excellent app,5,Positive
app good scalper facility available mobile app premium chat profit lining available,4,Positive
please improve gui like grow broker,3,Positive
app allowing recover id password eve though use correct captcha,1,Neutral
