Content,score,VADER_Sentiment,Sentiment
stress relief,5,Positive,Neutral
best app world,5,Positive,Positive
interest,1,Positive,Neutral
nice application,5,Positive,Positive
account hijacked impossible reset changed email phone password 2 factor doesnt help customer service available,1,Negative,Negative
plzzz speed posting speed,5,Neutral,Neutral
good experience,5,Positive,Positive
instagram good app,5,Positive,Positive
one who facing download issue like voice message video sent,1,Positive,Neutral
good app,4,Positive,Positive
love instagram,5,Positive,Positive
batting raja 5062sahganj wala,5,Neutral,Neutral
dont know people suspended id even appealed returning,1,Positive,Neutral
ive lowered rating cant determine ive shadowbanned content purposefully blocked entity experience overall somewhat good algorithm need stop playing favorite come certain user want better rating give better experience follower exposure explore fair advice enough good improvement need done,3,Positive,Positive
nice app,5,Positive,Positive
app good,5,Positive,Positive
love play store install anytime,5,Positive,Positive
thanks insta,5,Positive,Positive
good app,5,Positive,Positive
good,4,Positive,Positive
good app everything good like reel chatting full entertainment photo filter good,5,Positive,Positive
tried change instagram theme light dark mode literally dont work accessibility caption option thats nah fair,1,Positive,Positive
please help account husband ____hey_binit____,5,Positive,Neutral
recaptcha error issue kind bloody verification system instagram following simple time waste please update upgrade instagram,1,Negative,Neutral
technical issue bug fix,1,Neutral,Neutral
great app keep,5,Positive,Positive
good quality version video,5,Positive,Positive
excellent,5,Positive,Positive
beautiful,5,Positive,Positive
time wasting app,1,Negative,Neutral
love app,5,Positive,Positive
favorite app,5,Positive,Positive
good need better result,5,Positive,Positive
best app use edits instagram pls support,5,Positive,Positive
app good reel photo nice app,5,Positive,Positive
please viral post,5,Positive,Neutral
app crazy,4,Negative,Negative
alokomiobarman,3,Neutral,Neutral
instagram 5 year tell still need download random thirdparty apps save story audio like hello story video download directly every update come random new feature one asked one thing actually make sense still missing seriously instagram hard adding save story sound button literally annoying thing ever,3,Positive,Negative
bro luv hitler meme come,5,Neutral,Neutral
need auto scroll,5,Neutral,Neutral
good,5,Positive,Positive
year app still break overview button android sluggish buggy often cant scroll group chat look previous reel use group search feature problem flinging back week month old reel fix app,1,Negative,Neutral
nice app educational purpose thank,5,Positive,Positive
wow love instagram use insta last 4 year good result morning start insta,5,Positive,Positive
without anything community guideline instagram suspended mya account without reason,1,Negative,Neutral
help sir,5,Positive,Neutral
useful,5,Positive,Positive
nice app,5,Positive,Positive
instagram op,5,Neutral,Neutral
shivamkashyap,5,Neutral,Neutral
suggest insta influencersyaay alright glitch anyways absolutely perfect app ever,5,Positive,Positive
life good,5,Positive,Positive
828 update bug keep shutting,1,Neutral,Neutral
boooo tomato tomato tomato boooooooooo,1,Neutral,Neutral
network contact problem story unknown person post unknown person come,3,Negative,Neutral
best apk,5,Positive,Positive
bug forgot password tried resetting password fromemail whats app redirected installed app page called create strong password inputted valid character field clicked reset button result keep loading,1,Positive,Positive
jisne ye pada uski mkc,5,Neutral,Neutral
love,5,Positive,Positive
perfect app,5,Positive,Positive
excellent im really enjoying app,5,Positive,Positive
delete repost option please,1,Positive,Neutral
great survises,5,Positive,Positive
