Content,score
able open chart,1
complicated put stoploss change ui something entry take profit stoploss like change make great potential,1
user friendly app simple easy use,5
better,1
good,5
excellent application,5
indicator showing index chart like vwap volume indicator,5
1 sistify,4
best application investing,5
exceptional fast easy operate,5
good app,5
zerodha app easy handle,5
easy use fast error free,5
2fa security able setup device format,4
network miss app,1
data security absolutely suck open account data leaked youll start getting unsolicited tip random number careful take monetary transaction else youll end huge loss,1
good service,5
5 year best service,5
easy use advertisement app use,4
watchlist chart display error please solve problem,1
great response nice,5
worst apps working,4
satisfied,5
fast trading order window please following improvement 1 keep default quantity blank 2 show maximum quantity trade eg client 1000000 r want sort nifty option order window max quantity 350 display 3 exit option position position tab case 1800 quantity nifty 1000 quantity sensex option unnecessary confirmation popup load waste trader time,2
nice,5
best option trading,5
good trading,5
lot qty ke option chahiye aur margin available automatic hona chahiye,5
polite helpful support executive superfast execution,5
worst app cant put stoploss app say trigger price must greater price one understand staff must give credit polite enough answer smart enough resolve issue,1
great app,5
bad experience,1
updated review thnx zerodha finally something come good best feature update year seen different zerodha totally nailed,5
excellent mr deepak helped understand placement order ipo zerodha kite seamlessly smooth people work better friendly guide please keep,5
zerodha worst stock broker ever seen going week info account opening confirmation user idpassword detail yet,1
matual app coin portfolio hide karne ka feature chahiye,5
excellent experience would recommend anyone friend,5
happy,5
happy,5
nowadays every broker give excellent feature main thing zerodha ecosystem thats different others,5
good ba,5
recommend best know,5
kindly work fo segment add feature fno like multi chart scalping mode one tap buy sell etc,4
zerodha gang looter including exchange government looting retailer true experience big machination broker involved one solution stay away,1
lately many hidden charge unnecessary penalty deduction shifting broker disappointed,1
easy app trading customer support always help,5
app good u recently faced issue related transfer money like according contract note amount charge trade less come fund unintentional amount cut profit like received 1000 rupee real thae amount want receive 1600 rupee deducting charge 500 rupee unintentional amount deducted profit didnt come fund happens 23 time check,3
many time chart getting saved new system create new charge dont know faced lot charge issue margine shortfall even closing position bad using long time,1
good app please add widget monitor stock,5
please enable trading option chart setting enabledisable buysell directly chart,3
today kept 3 stop loss different stock traded everytime partial executed exit lower level later,1
support staff helpful thank zerodha,5
still improvement made application portfolio show today price movement need see touching respective stock separatelywhat im saying today fluctuation portfolio known much money gone particular stock currently percentage known,4
india best trade platform,5
excellent application easy operate,5
sorry old review thing good,5
overall helping people helped lot thank,4
encouraging,3
awesome,5
nice app,5
good application low brokerage charge good customer service good thing customer care ai,5
using friendly app,5
helpful,5
excellent service quick support,5
top experience,5
prompt accurate help,5
best market,5
perfect respect,5
ghatiya app ghatiya service month charge amc ke maan pe unjustified charge delay payment ke maan pe,1
one best platform service,5
trading karke shortcut mein crorepati banane ki sochne walo aap sabko advance mein kangal hone ki badhai 1000 percent kangali hogi hi hogiyaad rakhna isliye trading se door rahana investing karni hai toh ye application best hailekin investing bhi seekh kar karanabaaki bhagwan aapka bhala karen,5
chart dont reflect original price,1
convenient platform security buying selling compare similar platform,5
great app connectivity zerodha apps awesome also great customer support team,5
humble conversation agent,4
user friendly gui,5
poor service,1
satisfactory sometimes glitch,4
