Content,score,VADER_Sentiment
stress relief,5,Positive
best app world,5,Positive
interest,1,Positive
nice application,5,Positive
account hijacked impossible reset changed email phone password 2 factor doesnt help customer service available,1,Negative
plzzz speed posting speed,5,Neutral
good experience,5,Positive
instagram good app,5,Positive
one who facing download issue like voice message video sent,1,Positive
good app,4,Positive
love instagram,5,Positive
batting raja 5062sahganj wala,5,Neutral
dont know people suspended id even appealed returning,1,Positive
ive lowered rating cant determine ive shadowbanned content purposefully blocked entity experience overall somewhat good algorithm need stop playing favorite come certain user want better rating give better experience follower exposure explore fair advice enough good improvement need done,3,Positive
nice app,5,Positive
app good,5,Positive
love play store install anytime,5,Positive
thanks insta,5,Positive
good app,5,Positive
good,4,Positive
good app everything good like reel chatting full entertainment photo filter good,5,Positive
tried change instagram theme light dark mode literally dont work accessibility caption option thats nah fair,1,Positive
please help account husband ____hey_binit____,5,Positive
recaptcha error issue kind bloody verification system instagram following simple time waste please update upgrade instagram,1,Negative
technical issue bug fix,1,Neutral
great app keep,5,Positive
good quality version video,5,Positive
excellent,5,Positive
beautiful,5,Positive
time wasting app,1,Negative
love app,5,Positive
favorite app,5,Positive
good need better result,5,Positive
best app use edits instagram pls support,5,Positive
app good reel photo nice app,5,Positive
please viral post,5,Positive
app crazy,4,Negative
alokomiobarman,3,Neutral
instagram 5 year tell still need download random thirdparty apps save story audio like hello story video download directly every update come random new feature one asked one thing actually make sense still missing seriously instagram hard adding save story sound button literally annoying thing ever,3,Positive
bro luv hitler meme come,5,Neutral
need auto scroll,5,Neutral
good,5,Positive
year app still break overview button android sluggish buggy often cant scroll group chat look previous reel use group search feature problem flinging back week month old reel fix app,1,Negative
nice app educational purpose thank,5,Positive
wow love instagram use insta last 4 year good result morning start insta,5,Positive
without anything community guideline instagram suspended mya account without reason,1,Negative
help sir,5,Positive
useful,5,Positive
nice app,5,Positive
instagram op,5,Neutral
shivamkashyap,5,Neutral
suggest insta influencersyaay alright glitch anyways absolutely perfect app ever,5,Positive
life good,5,Positive
828 update bug keep shutting,1,Neutral
boooo tomato tomato tomato boooooooooo,1,Neutral
network contact problem story unknown person post unknown person come,3,Negative
best apk,5,Positive
bug forgot password tried resetting password fromemail whats app redirected installed app page called create strong password inputted valid character field clicked reset button result keep loading,1,Positive
jisne ye pada uski mkc,5,Neutral
love,5,Positive
perfect app,5,Positive
excellent im really enjoying app,5,Positive
delete repost option please,1,Positive
great survises,5,Positive
im facing issue instagram scroll reel 23 min shifting homepage chat box side screen becomes black cant see anything need start instagram removing recent tab please something,2,Positive
good app,5,Positive
apo better apps full reel infinite thats app help u get know people become popular,5,Positive
calculator,1,Neutral
bad,1,Negative
good,5,Positive
good aap,4,Positive
great app,5,Positive
update problem,5,Negative
nice download guy,5,Positive
bestttt,5,Neutral
shaikh,5,Neutral
sanjit,1,Neutral
mere follower badhne ki jagah ghat rhe h pta nhi kyu unfollow jo karte h bo dikh nhi rhe follow karte h unka notification ata h counting utni hi rahti h,2,Neutral
track data us message update algorithm,1,Neutral
multiple id update come tgay act id remains unchanged,5,Neutral
faltu app dont like,1,Negative
perfect,5,Positive
much good,5,Positive
love instagram family,5,Positive
good app instagram,5,Positive
thikthak,1,Neutral
good job,5,Positive
love instagram,5,Positive
meta ruined social medium censorship speech support war criminal,1,Negative
follows 10 k,5,Neutral
whenever open always show nudity negetive content dont follow doesnt show search first reel whenever open disgusting experience,1,Negative
amazing,5,Positive
love instagram,5,Positive
amazing post updated,5,Positive
facing problem loggin id even entering right password,2,Negative
bad app dont installat itit wastage data,5,Negative
never issue last year ive 2 account disabled thing didnt appeal process doesnt even give option explain talk anyone havent posted anything year somehow keep getting account disabled b,1,Neutral
hello instagram team noticed restyle option story missing account already updated app restarted device feature still available please help enable feature thank,5,Positive
people cant mention story update insta lot time modification,1,Neutral
instagram give boyfriend,5,Neutral
best platform,5,Positive
genuinely unusable unskippable ad feed story literally every 4th post ad awful horrible hate every time open app want close immediately dm dont load anymore message disappear randomly sometimes let see recent message refuse load older one app genuinely become painful use,2,Negative
instagram useful app,5,Positive
nice app,5,Positive
cant open acc acc problem nothing truly clitsh keep following cant log acc,1,Negative
like much,5,Positive
instagram good platform nice,5,Positive
best app use,5,Positive
feeling good,5,Positive
app nice,5,Positive
cant login account even correct password,1,Neutral
time pas ke liye thike hai,4,Neutral
love aap,5,Positive
super,5,Positive
app convenient handy general knowledge past 3 day facing issue like reviewing saved reel stucks app close cant able message ig team please solve issue,4,Positive
need earn mone like facebook youtube,1,Positive
cant see viewer pls allow,4,Positive
get money instagram post video,5,Neutral
speakless wow,5,Positive
thinking time ig 40 mb double,5,Neutral
account disabled problem,2,Negative
fantasy world wealthy happy people would like see install,1,Positive
best app using past 5 month going great,5,Positive
good personal use like saving photo bad everything else expect lot fake science ai picture verified checkmark profile,2,Negative
great,5,Positive
app wonderful,5,Positive
awesome man,5,Positive
app work ive issue week one story open forcing clear data restart multiple time day internet finefix app,1,Positive
open,1,Neutral
app great need clear chat direct feature,5,Positive
osama,4,Neutral
insta id getting reach,3,Neutral
worlde best sosal midiea app,5,Positive
wonderful great,5,Positive
post dont go alot viral men,5,Neutral
instagram mere sare account disable kar diya hate instagram,1,Negative
please dear meta bring back music instagram,5,Positive
dont know song section removed reel,2,Neutral
vry nice thise aap,5,Positive
aap favourite im aap talk favourite person,5,Neutral
1k follower se kam hone ke karan live nahi chal raha hai normal instagram user ko kya live chalane ka haq nahi hai sit,1,Neutral
yeah mean app good honestly saying faced problem telling mention back anyone dp photo person mentioned back changed didnt like hope instagram fix problem next update thank,4,Positive
easy use,4,Positive
instagram upate,1,Neutral
pleade stop suspending account thank u,4,Positive
wonderful experience,5,Positive
amazing,5,Positive
done done done,5,Neutral
sameer pathan,1,Neutral
exciting app,5,Positive
beautiful app good reel chatting call message,5,Positive
lnstagram,5,Neutral
bad new version update,1,Negative
comfortable platform,5,Positive
siam yadav,5,Neutral
dear instagram team didnt send anything purpose break community guideline mistake cant able send message 3 day please review instagram account right always follow rule instagram please get,1,Positive
ill choose full rate u give trial option,5,Negative
comment,1,Neutral
good service like,5,Positive
beautiful,5,Positive
worst app,1,Negative
nice application jo man hai wah yaha dil khol ke baya kar sakte hai,4,Positive
real creator,5,Neutral
ajmal,5,Neutral
excellent exercise application peaceful mind,5,Positive
excellent,5,Positive
please remove repost button app,1,Positive
follow,5,Neutral
l love simple use,4,Positive
sometimes played reel app didnt played reel well please fix issue,1,Positive
amazing platform user like grow identity,5,Positive
nice experience,5,Positive
hail satan,5,Positive
super app,5,Positive
new enjoying much,5,Positive
great app,5,Positive
hello instagram team account suspended mistake always follow instagram community guideline term service believe suspension error violated policy kindly review account restore soon possible important stay connected friend family community thank supportuser name fahad295x,5,Positive
soo best app,5,Positive
instagram year zero problem suddenly past two week whenever message friend scroll upwards without neverending loading icon unless delete reinstall ridiculous,1,Negative
favourite,2,Neutral
wonderful app,5,Positive
need help account automatic following someone dont know dont know keep unfollow block keep refollow someone else today got suspend really need instagram help,3,Positive
korraaa,5,Neutral
best app,3,Positive
5 star mahe plz reel support,5,Positive
monopoly bad constantly bugged something went wrong ridiculous least give error code smthn,1,Negative
brilliant,5,Positive
instagram best online app app,5,Positive
best social medium app tbh,5,Positive
smooth,5,Neutral
good app,5,Positive
really worst day day problem increasing one id dont able send message still issue im using moto 50 fusion chat message sent recieved show camera calling error plz fix needful,1,Negative
hii viws,5,Neutral
mast app ha bhai instagram mast,5,Positive
bad,5,Negative
sometimes difficult post reel video,4,Negative
even changing front style mobile setting front style instagram change,5,Neutral
love,5,Positive
thik hai,3,Neutral
interesting app advertising gaining knowledge various thing,5,Positive
good platform content creator influence showcase talent fun entertaining app,5,Positive
best app get viral,5,Positive
many bug banned reason,1,Negative
limited way edit story layering limit creative idea person,1,Positive
vashe z r gap b lish mumkinmas,5,Neutral
best arning apo,5,Positive
amazing application ever seen please see profile promote,5,Positive
app capals perfect,3,Positive
worst,1,Negative
nice aap,5,Positive
beautiful girl,5,Positive
kkkdjenci x kon land kf h mangne,5,Neutral
nice nice beautiful,5,Positive
best update,5,Positive
nice performance,5,Positive
kajal kushwaha,5,Neutral
people watching lose one star forced gay lbtgqcontent stuff im interested,4,Negative
help u new thing,5,Positive
instagram good use properly others know good thing,5,Positive
good user experience overall inconsistent ui update need fix,4,Positive
follower continuously dropping last one month even genuine follower counted properly whenever new follower come decrease instead increasing issue demotivating affect growth please fix problem soon possible,1,Positive
nice work,2,Positive
nice,5,Positive
fantastic app,5,Positive
hey meta instagram would like request feature directly jump reel profile watching feed people post reel part reel uploaded sometimes 67 month back due difficult find,5,Neutral
yes good use also bad life many people addicted seeing reel wasting time use limited way,4,Negative
suck like hell nowadays,1,Negative
instagram ruined privacy people like reel follower instagram see everything also content comment posted good quality,1,Positive
ek number achha video hai,5,Positive
cant edit photo,1,Neutral
useful small business world wide,5,Positive
pls grow follower,5,Positive
instagram account say like say talk meta support er live dont wan pay one send 100 time help center u make quick,1,Positive
good app meet new people,5,Positive
niceee guudddd,5,Neutral
insta account suspended instagram done anything wrong insta app suspended lost childhood friend please people dont use instagram account onwards requesting people careful instagram waste using instagram given right suspended account lost friend people reback account give friend account list issue facing instagram dont give rating app,1,Negative
loving plateform whereu like wow technology,5,Positive
love hai na,5,Positive
periodically forced watch advertisement entirety order use app condone practice cannot recommend app,1,Negative
nose app,5,Neutral
make famous,4,Neutral
useful best app,5,Positive
instagram funny,5,Positive
great,5,Positive
ifeelkingeditz ko blue tek,2,Neutral
kora app bro,5,Neutral
nice application,5,Positive
app installing plz install app plz install,5,Positive
best platform selfgrow,5,Positive
worst app upload photo cant able upload photo sameregular length width colour uploaded photo also changed,1,Negative
last2 day instragram properly working suddenly app hangupp outo matical closee frustrated doo thing working plz something thiss,1,Negative
lovely entertainment joy time pas love friendship update,5,Positive
like instagram,1,Positive
like,4,Positive
social medium platform coolinstagram,4,Neutral
full musty jai mata bawe walli,5,Neutral
nice instagram viral video,1,Positive
view increased,4,Positive
mujhe instagram acha laga,5,Neutral
good vibe,5,Positive
dear instagram team account 0nly_cricket56 account working great suddenly dont know happened video stopped getting view please fix,5,Positive
worse,1,Negative
like,5,Positive
instagram account got hacked reason like havent even changed email password etc hacker hacked without sending otp,1,Negative
hot,5,Neutral
every id getting ban without please fix issue,1,Negative
stupid engineer,1,Negative
suchit,5,Neutral
best app world,5,Positive
great platform four posting reel feeling etc everything,4,Positive
favorite app,5,Positive
mast hai bhai,5,Neutral
enjoy playing game facebook wish real money would nice lol,5,Positive
shaik jasu,5,Neutral
khub valo lage ei app ta te taim paas valo hoye jay,3,Neutral
prem sagar king up50,5,Neutral
v good,5,Positive
nice good god,5,Positive
please keep pause feature reel necessary,4,Positive
super timepass usee fun,5,Positive
good app,5,Positive
time slow,1,Neutral
app best app,5,Positive
